table_schema,table_name,column_name,udt_name,is_nullable,character_maximum_length,foreign_table_schema,foreign_table_name,foreign_column_name
platforma,users,password,varchar,NO,20,,,
platforma,instructors,adminid,int4,YES,,platforma,admins,id
platforma,prices,courseid,int4,YES,,platforma,courses,id
platforma,students,tokens,int4,NO,,,,
platforma,forums_instructors,forumid,int4,YES,,platforma,forums,id
platforma,admins,userid,int4,YES,,platforma,users,id
platforma,users,lastname,varchar,NO,30,,,
platforma,watched_courses,studentid,int4,YES,,platforma,students,id
platforma,forums,id,int4,NO,,,,
platforma,users,id,int4,NO,,,,
platforma,users,sex,bpchar,NO,1,,,
platforma,videos,pathimg,varchar,NO,,,,
platforma,category_courses,courseid,int4,YES,,platforma,courses,id
platforma,course_review,datereview,date,NO,,,,
platforma,users,username,varchar,NO,53,,,
platforma,forums_students,id,int4,NO,,,,
platforma,certificates,id,int4,NO,,,,
platforma,courses,id,int4,NO,,,,
platforma,course_recommendations,student2id,int4,YES,,platforma,students,id
platforma,categories,name,varchar,NO,25,,,
platforma,courses,description,varchar,YES,,,,
platforma,certificates,datecertified,date,NO,,,,
platforma,forums_students,comment,varchar,NO,,,,
platforma,course_review,studentid,int4,YES,,platforma,students,id
platforma,videos,courseid,int4,YES,,platforma,courses,id
platforma,course_recommendations,id,int4,NO,,,,
platforma,students,userid,int4,YES,,platforma,users,id
platforma,instructors,userid,int4,YES,,platforma,users,id
platforma,prices,dateend,date,YES,,,,
platforma,bought_courses,studentid,int4,YES,,platforma,students,id
platforma,forums_instructors,datecomment,date,NO,,,,
platforma,forums_students,studentid,int4,YES,,platforma,students,id
platforma,certificates,courseid,int4,YES,,platforma,courses,id
platforma,courses,name,varchar,NO,100,,,
platforma,documents,courseid,int4,YES,,platforma,courses,id
platforma,course_recommendations,courseid,int4,YES,,platforma,courses,id
platforma,bought_courses,id,int4,NO,,,,
platforma,students,id,int4,NO,,,,
platforma,course_review,courseid,int4,YES,,platforma,courses,id
platforma,instructors,id,int4,NO,,,,
platforma,videos,name,varchar,NO,100,,,
platforma,course_recommendations,student1id,int4,YES,,platforma,students,id
platforma,documents,path,varchar,NO,,,,
platforma,documents,id,int4,NO,,,,
platforma,bought_courses,datebought,date,NO,,,,
platforma,instructors,country,varchar,NO,15,,,
platforma,students,country,varchar,NO,15,,,
platforma,certificates,studentid,int4,YES,,platforma,students,id
platforma,courses,instructorid,int4,YES,,platforma,instructors,id
platforma,users,email,varchar,NO,40,,,
platforma,documents,name,varchar,NO,50,,,
platforma,videos,pathvideo,varchar,NO,,,,
platforma,forums_students,forumid,int4,YES,,platforma,forums,id
platforma,course_review,grade,int4,YES,,,,
platforma,students,age,int4,NO,,,,
platforma,course_review,id,int4,NO,,,,
platforma,videos,id,int4,NO,,,,
platforma,instructors,age,int4,NO,,,,
platforma,bought_courses,courseid,int4,YES,,platforma,courses,id
platforma,categories,id,int4,NO,,,,
platforma,users,firstname,varchar,NO,20,,,
platforma,watched_courses,courseid,int4,YES,,platforma,courses,id
platforma,forums_students,datecomment,date,NO,,,,
platforma,forums_instructors,instructorid,int4,YES,,platforma,instructors,id
platforma,forums,description,varchar,NO,,,,
platforma,category_courses,id,int4,NO,,,,
platforma,prices,price,int4,NO,,,,
platforma,category_courses,categoryid,int4,YES,,platforma,categories,id
platforma,prices,id,int4,NO,,,,
platforma,forums_instructors,comment,varchar,NO,,,,
platforma,watched_courses,datefinished,date,YES,,,,
platforma,watched_courses,id,int4,NO,,,,
platforma,forums_instructors,id,int4,NO,,,,
platforma,admins,id,int4,NO,,,,
platforma,prices,datestart,date,NO,,,,
